Equip Code,Asset Desc.,Fleet-Note,Equip Group,LTD Miles,PM Labor Cost,PM Equipment Cost,PM Inventory Cost,PM Supplies Cost,PM Outsourcing Cost,PM Overhead Cost,Non-PM Labor Cost,Non-PM Equip Cost,Non-PM Inv Cost,Non-PM Supply Cost,Non-PM Outsource Cost,Non-PM Overhead Cost,Depreciate Amt
8635,2016 F250 4X4,,Beach Operations,"35,071.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$2,841.70",$0.00,$0.00,$0.00,$0.00
10289,2021 Safari Tram Ford F350 4x4,,Beach Tram,"62,473.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$11,344.56",$0.00,$0.00,$0.00,"$77,460.83"
10284,2021 Safari Tram Ford F350 4x4,,Beach Tram,"68,327.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$12,249.07",$0.00,$0.00,$0.00,"$79,291.67"
9043,2018 F-250,,Beach Operations,"50,907.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$5,022.20",$0.00,$0.00,$0.00,$0.00
10515,2022 Ford Escape,,,"84,431.00",$0.00,$0.00,$79.19,$21.16,$0.00,$0.00,$0.00,$0.00,"$3,477.32",$0.00,$0.00,$0.00,"$14,582.17"
10514,2022 Ford Escape,,,"65,114.00",$0.00,$0.00,$209.05,$98.79,$0.00,$0.00,$0.00,$0.00,"$1,673.54",$0.00,$0.00,$0.00,"$14,582.17"
9036,2018 Ford Explorer,,Building Construction and Maintenance,"58,790.00",$0.00,$0.00,$195.29,$324.73,$0.00,$0.00,$0.00,$0.00,$761.21,$601.22,$0.00,$0.00,$0.00
9218,2019 Ford F150 Extended Cab 4x4,"The truck currently has 168,091 miles, and the last service was performed on January 28th at 160,918 miles. It has since experienced a catastrophic rocker arm failure, which de-lobed the camshafts and circulated metal throughout the engine’s oiling system.",Building Construction and Maintenance,"168,091.00",$0.00,$0.00,$828.10,$564.18,"$13,027.08",$0.00,$0.00,$0.00,"$6,390.44",$0.00,$0.00,$0.00,"$32,434.00"
6551,2008 Silverado Pickup 4WD,,Building Construction and Maintenance,"169,000.00",$0.00,$0.00,$270.86,"$2,908.60",$0.00,$0.00,$0.00,$0.00,"$4,455.01","$1,878.46",$0.00,$0.00,$0.00
9186,2019 Van Connect XL ,,Building Construction and Maintenance,"29,413.00",$0.00,$0.00,$96.21,$413.81,$0.00,$0.00,$0.00,$0.00,"$1,112.52",$892.86,$0.00,$0.00,$0.00
10287,2021 Safari Tram Ford F350 4x4,,Beach Tram,"70,967.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$11,950.59",$0.00,$0.00,$0.00,"$77,705.83"
8668,2017 Explorer 4x4,,Tourism Adminstration,"24,397.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$616.18,$0.00,$0.00,$0.00,$0.00
8511,2015 F-150 Extended Cab,,Public Works,"119,521.00",$0.00,$0.00,$384.91,$158.99,$0.00,$0.00,$0.00,$0.00,"$2,075.75","$1,992.62",$0.00,$0.00,$0.00
10427,2022 Ford F150 Crew Cab 4x4,,Public Works,"90,585.00",$0.00,$0.00,$636.28,"$1,618.40",$0.00,$0.00,$0.00,$0.00,"$4,582.41",$808.06,$0.00,$0.00,"$26,688.90"
9005,2018 F150 4X4 XCAB,,Public Works,"43,863.00",$0.00,$0.00,$338.07,$218.66,$0.00,$0.00,$0.00,$0.00,"$2,697.82","$1,583.08",$0.00,$0.00,$0.00
9214,2019 F150 4X4 XLSC,,Public Works,"91,886.00",$0.00,$0.00,$634.33,"$1,189.57",$0.00,$0.00,$0.00,$0.00,"$3,178.66","$5,252.75",$0.00,$0.00,$0.00
