Dept_Name,Narrative
Board of County Commissioners,"The Board of County Commissioners (BCC) is the legislative and policy-making body of County government. Representatives from five Walton County districts are elected countywide and serve four year terms. The BCC establishes policies through the enactment of ordinances and adoption of resolutions, as well as appoints the County Administrator, Chief Financial Officer, and County Attorney. The BCC adopts the budget and makes all budget decisions regarding appropriation of funds to County departments, divisions, and Constitutional offices, in accordance with Florida State statutes."
Clerk of Courts & County Comptroller,"The Clerk of Courts & County Comptroller is a separately elected Constitutional Officer of the County. The Clerk also acts as the Clerk to the Board of County Commissioners. As Clerk of the Court, areas of support for the judicial functions within the County include the Civil Division, Family Services, Felony Division, Jury Administration, Juvenile and Recording Divisions. Departments under the Clerk to the Board function include Finance, Information Systems and BCC recording. Services provided encompass accounting and auditing services, disbursements on contracts and purchases, investment of funds for the Board, information systems support (hardware and software) for court and accounting services and maintaining the “Official Records” for the Board. 

The Clerk’s budget, included in the County’s General Fund, is that portion of the operations not covered by fees charged for public services. Once the budget is approved, the Constitutional Office acts as a separate entity, setting its own policies and procedures, employee hiring and line-item budget management.

[Clerk of Courts & County Comptroller Website](https://waltonclerk.com/)

[Clerk of Courts & County Comptroller Budget](https://www.mywaltonfl.gov/DocumentCenter/View/45227/Clerk-of-Court-and-Comptroller-Budget)"
Property Appraiser,"The Property Appraiser is a separately elected Constitutional Officer of the County. The Office’s budget is approved by the State Department of Revenue. Florida law requires the Board of County Commissioners to pay for the municipalities’ and school board’s cost of the Property Appraiser’s budget. This Office is responsible for determining the value of all property within the County, maintaining certain records connected with that responsibility and determining the tax on taxable property after taxes have been levied. The Office is also responsible for distributing the Truth-in-Millage (TRIM) notices.  

The Property Appraiser Office is operated as a separate entity, setting its own policies and procedures, employee hiring and line-item budget management.

[Property Appraiser Website](https://waltonpa.com/)

[Property Appraiser Budget](https://www.mywaltonfl.gov/DocumentCenter/View/45269/Property-Appraiser-Submission)"
Sheriff's Office,"The Sheriff is a separately elected Constitutional Officer of the County. Functions under the Sheriff include Corrections, Court Services, Law Enforcement, Animal Services, and Fire Rescue. The Corrections division operates the County detention facility, which involves inmate housing, medical services, food services, and prisoner transportation. The Court Services area provides bailiffs, courtroom security, and general jury/judicial protective services to the County courts. The Law enforcement function includes uniformed road patrol, criminal investigations, crime scene investigations, K-9 units, and the E911 Communications Center. Additionally, the Walton County Sheriff's Office has taken on other responsibilities, including the operations of the animal control facility and units, and the operations of Walton County Fire Rescue Services within the county. 

The Sheriff’s Office operates as a separate entity setting its policies and procedures, employee hiring, and line-item budget management. 

[Sheriff Budget Certification](https://www.mywaltonfl.gov/DocumentCenter/View/45225/Sheriff-Budget-Certification)"
Supervisor of Elections,"The Supervisor of Elections is a separately elected Constitutional Officer of the County. The Office’s overall budget is included in the General Fund. This Office administers elections and maintains voter registration records and statistics ensuring compliance with the federally mandated National Voter Registration Act. Administering of elections includes, but is not limited to, coordinating and training poll workers, setting up precinct polling places, ballot printing and providing voting booths needed to comply with minimum standards per Florida statutes. 

The Supervisor of Elections is operated as a separate entity setting its own policies and procedures, employee hiring and line-item budget management. 

[Supervisor of Elections Website](https://www.votewalton.gov/)

[Supervisor of Elections Budget](https://www.mywaltonfl.gov/DocumentCenter/View/45234/Supervisor-of-Elections-Budget)"
Tax Collector,"The Tax Collector is a separately elected Constitutional Officer of the County. The Office’s budget is approved by the State Department of Revenue. Fee charges to the County’s various taxing authorities are based on a legislated percentage of taxes collected for each authority. The Office’s primary responsibilities are as an agent of state government. As an agent of Highway Safety and Motor Vehicles, the office administers titling and registration for vehicles and vessels. It issues hunting and fishing licenses as agent for Game and Fish Commission. In collecting sales tax on vehicle and vessel sales, the office is an agent for the Department of Revenue. The collection, investing and distribution of real and tangible taxes and the subsequent activities to collect delinquent taxes are as an agent of local and state government as is the collection of occupational license tax. 

The Tax Collector’s is operated as a separate entity setting its own policies and procedures, employee hiring and line-item budget management.

[Tax Collector Website](https://www.waltontaxcollector.com/)

[Tax Collector Budget](https://www.mywaltonfl.gov/DocumentCenter/View/45479/FY27-Budget-DOR-Submission)

"
Circuit Court,"Circuit Court judges and their judicial assistants are employees of the State. However, under State law, unless the State shall pay such expenses, the County is responsible for all reasonable salaries of secretaries and assistants of the Circuit Court and all reasonable expenses of the Circuit judges. This department includes actual Circuit Court costs such as professional services, Bailiff salaries, and a Judicial Assistant paid from the Innovative Court Program Funding that is generated by court fees.

[Circuit Court Budget](https://www.mywaltonfl.gov/DocumentCenter/View/45226/Circuit-Court-Budget)"
County Court,"County Court judges and their judicial assistants are employees of the State. However, under State law, unless the State shall pay such expenses, the County is responsible for all reasonable salaries of secretaries and assistants of the County Court and all reasonable expenses of the County judges.

[County Court Budget](https://www.mywaltonfl.gov/DocumentCenter/View/45228/County-Court-Budget)"
Court Technology,"When counties are responsible for court technology costs as specified in Section 29.008(1)(f)2. and (h), an allocation of $2 will be made to the county board of commissioners. This amount is dedicated solely to funding court-related technology, supporting the technology needs of state trial courts, state attorneys, public defenders, and criminal conflict and civil regional counsel within the county, as defined in the same section.

[Court Administration Budget](https://www.mywaltonfl.gov/DocumentCenter/View/45230/Court-Administration-Budget)"
Court Innovations,"Under Walton County Ordinance 2004‑22, authorized by Florida Statute § 939.185, a $65 court cost is imposed upon conviction in felony, misdemeanor, or criminal traffic cases. This revenue is dedicated to Court Innovations, supporting enhancements that supplement state funding under § 29.004 and county obligations under § 29.008(2)(a)2

"
Guardian Ad Litem,"Under Florida Statutes Chapter 29.008, counties are required by Article V of the State Constitution to fund the cost of various services such as staffing costs, communications services and cost of lease, maintenance, utilities and security of facilities for the guardian ad litem program. A Guardian ad Litem is a volunteer appointed by the court to protect the rights and advocate the best interests of a child involved in a court proceeding."
Medical Examiner,"The Medical Examiner is appointed by the Governor for each medical examiner district established by a State Medical Examiners Commission. Per State law, the medical examiner shall determine the cause of death under specified circumstances and shall make or have performed such examinations, investigations, and autopsies, as the examiner shall deem necessary. Per Fl. Statute Chapter 406.08, fees, salaries and expenses of this office are to be paid by the County. Walton County is part of the District One Medical Examiner Committee (DOMES), which also covers Okaloosa, Santa Rosa and Escambia counties. The cost of the district’s examiner is shared by the four counties.

[Medical Examiner Budget](https://www.mywaltonfl.gov/DocumentCenter/View/45253/D1MEO-2026-2027-Budget-Proposal-6-1-26)

[Medical Examiner Website](https://www.d1meo.org/)
"
