Dept_Code,Dept_Name,Note,M&E_type,BCC_Replacement,Contract_Status,Vendor,Contract_No,Contract_Link,Project_Code,Project_Name,Object_Code,Object_Name,Object_Type,FY2027_Proposed,Fund_code,activity
00117000,Building Construction and Maintenance,,,,,,,,,,562000,Buildings,Capital Outlay,0.00,001,General Government
00112000,Recreation,,,,,,,,,,562000,Buildings,Capital Outlay,"30,000.00",001,Culture and Recreation
00107020,Procurement,,,,,,,,,,562000,Buildings,Capital Outlay,"50,000.00",001,General Government
00104000,Planning Short-Term Rental,Short-Term Rental,,,,,,,10639,Short-Term Rental,562000,Buildings,Capital Outlay,"100,000.00",001,General Government
11141010,Beach Operations,,,,,,,,,,512000,Regular Salaries & Wages,Personnel Services,"3,363,126.00",111,Economic Environment
11141010,Beach Operations,,,,,,,,,,521000,FICA Taxes & Medicare,Personnel Services,"260,117.00",111,Economic Environment
11141010,Beach Operations,Employer retirement contribution rates are established annually by the Florida Legislature in accordance with state law and are applied based on each employee's FRS membership class.,,,,,,,,,522000,Retirement Contributions,Personnel Services,"423,755.00",111,Economic Environment
11141010,Beach Operations,Employer contributions for employee life and health insurance are budgeted based on the County's adopted benefit plans and applicable coverage elections.,,,,,,,,,523000,Life & Health Insurance,Personnel Services,"879,831.00",111,Economic Environment
11141010,Beach Operations,US Highway 331 Median & Right-of-Way Maintenance,,,Active Contract,"Harper Landscaping, LLC",22-028,,,,534000,Other Services,Operating Expenditures,"455,000.00",111,Economic Environment
11141010,Beach Operations,SR 83 (US 331) Landscaping Improvements,,,Active Contract,"C&A Landscape Maintenance, LLC",25-26,https://www.mywaltonfl.gov/DocumentCenter/View/45339/Contract-25-26-Landscaping-Improvements-1,,,534000,Other Services,Operating Expenditures,"515,000.00",111,Economic Environment
11141010,Beach Operations,Highway 98 Median & Right-of-Way Maintenance,,,Active Contract,"ZIIC Outdoors, LLC",020-016,,,,534000,Other Services,Operating Expenditures,"300,000.00",111,Economic Environment
11141010,Beach Operations,"Workers' compensation premiums are budgeted based on employee classifications, payroll, and rates established by the County's workers' compensation insurance provider.",,,,,,,,,524000,Workers Compensation,Personnel Services,"64,870.00",111,Economic Environment
11141010,Beach Operations,Task Orders Services,,,Task Order Services,,,,,,531000,Professional Services,Operating Expenditures,"200,000.00",111,Economic Environment
11141010,Beach Operations,,,,,,,,,,534000,Other Services,Operating Expenditures,"916,625.00",111,Economic Environment
11141010,Beach Operations,,,,,,,,,,540000,Travel & Per Diem,Operating Expenditures,"7,875.00",111,Economic Environment
11141010,Beach Operations,,,,,,,,,,541000,Communication Services,Operating Expenditures,"114,150.00",111,Economic Environment
11141010,Beach Operations,,,,,,,,,,542000,Freight & Postage Services,Operating Expenditures,"3,150.00",111,Economic Environment
11141010,Beach Operations,,,,,,,,,,543000,Utility Services,Operating Expenditures,"273,000.00",111,Economic Environment
11141010,Beach Operations,,,,,,,,,,544000,Rentals & Leases,Operating Expenditures,"70,350.00",111,Economic Environment
11141010,Beach Operations,,,,,,,,,,546000,Repair & Maintenance,Operating Expenditures,"656,250.00",111,Economic Environment
11141010,Beach Operations,,,,,,,,,,546001,Tires,Operating Expenditures,"42,000.00",111,Economic Environment
11141010,Beach Operations,,,,,,,,,,546002,Vehicle Repairs,Operating Expenditures,"225,000.00",111,Economic Environment
11141010,Beach Operations,,,,,,,,,,547000,Printing & Binding,Operating Expenditures,"65,625.00",111,Economic Environment
00104000,Planning,,,,,,,,,,513000,Other Salaries & Wages,Personnel Services,"40,000.00",001,General Government
11040000,Housing & Urban Development,,,,,,,,,,549001,Vouchers Rent,Operating Expenditures,"2,600,000.00",110,Economic Environment
11141060,Marketing,General Fund Cost Allocation for services provide to special revenue fund,,,,,,,,,549006,Indirect Admin Allocation,Operating Expenditures,"224,827.00",111,Economic Environment
11141060,Marketing,,,,,,,,,,551000,Office Supplies,Operating Expenditures,600.00,111,Economic Environment
11141000,Tourism Administration,,,,,,,,,,552000,Operating Supplies,Operating Expenditures,"45,000.00",111,Economic Environment
10116002,Engineering Services,,,,,,,,,,552002,Fuel,Operating Expenditures,"20,000.00",101,Transportation
11141030,Sales and Visitors Center,,,,,,,,,,554000,Books Publications Subscriptions or Memberships,Operating Expenditures,"34,600.00",111,Economic Environment
11141020,Beach Renourishment,Beach Renourishment Task Order Services,,,Task Order Services,,,,,,531000,Professional Services,Operating Expenditures,"250,000.00",111,Economic Environment
11141010,Beach Operations,Dune Allen,,,,,,,10439,,563000,Infrastructure,Capital Outlay,0.00,111,Economic Environment
11141000,Tourism Administration,,,,,,,,,,551000,Office Supplies,Operating Expenditures,"2,000.00",111,Economic Environment
00110000,Veteran Services,,,,,,,,,,551000,Office Supplies,Operating Expenditures,500.00,001,Economic Environment
10116002,Engineering Services,,,,,,,,,,551000,Office Supplies,Operating Expenditures,"2,000.00",101,Transportation
11141010,Beach Operations,,,,,,,,,,552000,Operating Supplies,Operating Expenditures,"1,115,259.00",111,Economic Environment
00101000,Board of County Commissioners,District 1 Discretionary Funding,,,,,,,00001,,552000,Operating Supplies,Operating Expenditures,"25,000.00",001,General Government
11141010,Beach Operations,,,,,,,,10724,Boardwalk Dune Walkover Repair/Replacement,563000,Infrastructure,Capital Outlay,0.00,111,Economic Environment
00101000,Board of County Commissioners,"Salaries for County Commissioners are established by Florida law and are based on the county's population. The State sets a salary schedule and provides annual adjustments as required by law; the County does not independently determine these salary amounts. See Florida Statutes, Chapter 145, Section 145.031 for the salary formula and Chapter 145 for annual compensation provisions.",,,,,,,,,511000,Commissioner Salaries,Personnel Services,"411,860.00",001,General Government
00101000,Board of County Commissioners,"Funds staff who assist County Commissioners with constituent services, communications, and daily operations",,,,,,,,,512000,Regular Salaries & Wages,Personnel Services,"476,617.00",001,General Government
00101000,Board of County Commissioners,,,,,,,,,,512007,PTO Buyback,Personnel Services,"220,000.00",001,General Government
00101000,Board of County Commissioners,Summer Students Program and Merit increase for Board departments,,,,,,,,,513000,Other Salaries & Wages,Personnel Services,"200,000.00",001,General Government
00101000,Board of County Commissioners,Employer payroll taxes include the County's required contributions for Social Security (FICA) and Medicare. Contributions are budgeted using federally established tax rates applicable to eligible employee compensation.,,,,,,,,,521000,FICA Taxes & Medicare,Personnel Services,"60,789.00",001,General Government
00101000,Board of County Commissioners,Employer retirement contribution rates are established annually by the Florida Legislature in accordance with state law and are applied based on each employee's FRS membership class.,,,,,,,,,522000,Retirement Contributions,Personnel Services,"249,148.00",001,General Government
00101000,Board of County Commissioners,"Board and Constitutional Offices' share of health insurance costs for approximately 332 eligible retirees and beneficiaries, based on the most recent OPEB actuarial study.",,,,,,,,,523000,Life & Health Insurance,Personnel Services,"620,000.00",001,General Government
00101000,Board of County Commissioners,"Board and Constitutional Offices' share of funding for the Florida Retirement System Health Insurance Subsidy (HIS), which provides eligible retirees with a monthly benefit based on their years of creditable service.",,,,,,,,,523000,Life & Health Insurance,Personnel Services,"500,000.00",001,General Government
00101000,Board of County Commissioners,"Workers' compensation premiums are budgeted based on employee classifications, payroll, and rates established by the County's workers' compensation insurance provider.",,,,,,,,,524000,Workers Compensation,Personnel Services,875.00,001,General Government
00101000,Board of County Commissioners,County share of the State Unemployment Compensation Trust Fund ,,,,,,,,,525000,Unemployment Compensation,Personnel Services,"15,000.00",001,General Government
00101000,Board of County Commissioners,Professional & Technical Services,,,,,,,,,531000,Professional Services,Operating Expenditures,"236,900.00",001,General Government
00101000,Board of County Commissioners,OPEB/GASB 75 Valuation,,,Active Contract,McGriff Insurance Services,,https://www.mywaltonfl.gov/DocumentCenter/View/45305/OPEB-GASB-75-Valuation,,,531000,Professional Services,Operating Expenditures,"8,000.00",001,General Government
00101000,Board of County Commissioners,Financial Advisor Services for Debt Issuance,,,Active Contract,PFM Financial Advisors LLC,23-15,https://www.mywaltonfl.gov/DocumentCenter/View/45306/23-15-PFM-Financial-contract,,,531000,Professional Services,Operating Expenditures,"10,000.00",001,General Government
00101000,Board of County Commissioners,Employee Benefits Consultant,,,Active Contract,The Gehring Group,22-036,https://www.mywaltonfl.gov/DocumentCenter/View/45310/Gehring-Contract-22-036,,,531000,Professional Services,Operating Expenditures,"95,000.00",001,General Government
00101000,Board of County Commissioners,State Lobbyist (75/25 split with Tourist Fund),,,Active Contract,"Heffley & Associates, Inc.",25-28,https://www.mywaltonfl.gov/DocumentCenter/View/45313/Lobbying-Services-034,,,531000,Professional Services,Operating Expenditures,"66,000.00",001,General Government
00101000,Board of County Commissioners,Federal Lobbyist (50/50 split with Tourist Fund),,,New Procurement,,,,,,531000,Professional Services,Operating Expenditures,"48,000.00",001,General Government
00101000,Board of County Commissioners,Cost Allocation Service Study,,,Cooperative Agreement,"Maximus US Services, Inc",,https://www.mywaltonfl.gov/DocumentCenter/View/45332/Walton-County-FL-Cost-Allocation-Plan-Proposal-24A--25A---FINAL---2426-Rev,,,531000,Professional Services,Operating Expenditures,"11,100.00",001,General Government
00101000,Board of County Commissioners,Comprehensive Annual Financial Audit Services,,,Active Contract,"Carr, Riggs, & Ingram",,https://www.mywaltonfl.gov/DocumentCenter/View/45342/Walton-County-Engagement-Letter-FY2025-Audit,,,532000,Accounting & Auditing,Operating Expenditures,"310,000.00",001,General Government
00101000,Board of County Commissioners,Enhanced South Walton Right Away Landscaping Services (Portion paid by Tourist Fund),,,Active Contract,"Harper Landscaping, LLC",24-16A,https://www.mywaltonfl.gov/DocumentCenter/View/45307/24-16A-Harper-Landscaping-Agreement,,,534000,Other Services,Operating Expenditures,"500,000.00",001,General Government
00101000,Board of County Commissioners,Enhanced South Walton Right Away Landscaping Services (Portion paid by Tourist Fund),,,Active Contract,"ZIIC Outdoors, LLC",24-16B,https://www.mywaltonfl.gov/DocumentCenter/View/45312/ITB-24-16-Contract-24-16B-ZIIC,,,534000,Other Services,Operating Expenditures,"25,000.00",001,General Government
00101000,Board of County Commissioners,Enhanced South Walton Right Away Landscaping Services (Portion paid by Tourist Fund),,,Active Contract,"ZIIC Outdoors, LLC",24-16C,https://www.mywaltonfl.gov/DocumentCenter/View/45311/ITB-24-16-Contract--24-16C--ZIIC,,,534000,Other Services,Operating Expenditures,"650,000.00",001,General Government
00101000,Board of County Commissioners,,,,,,,,,,534000,Other Services,Operating Expenditures,"70,000.00",001,General Government
00101000,Board of County Commissioners,"County Website, ADA Website Compliance, Archive Services for Social Media, Public Records Software",,,Active Contract,CivicPlus,,,,,534000,Other Services,Operating Expenditures,"50,000.00",001,General Government
