Year,Fund,Fund Description,Object Description,Fund Balance
2019,001,General Fund,,"24,486,117.00"
2019,101,Transportation Fund,,"17,323,517.00"
2019,107,Sheriff Fund,,"4,335,745.00"
2019,111,Tourist Development Fund,,"49,824,657.00"
2019,112,Solid Waste Fund,,"10,005,111.00"
2019,300,Capital Projects Fund,,"16,848,022.00"
2019,103,Building Fund,,"2,376,428.00"
2019,105,Mosquito Control Fund,,"435,020.00"
2019,109,E911 Fund,,"49,583.00"
2019,110,Housing & Urban Development Fund,,"151,069.00"
2019,113,Preservation Fund,,"3,937,492.00"
2019,114,Recreation Plat Fee Fund,,"1,099,694.00"
2019,115,Sidewalk Fund,,"240,910.00"
2020,001,General Fund,,"31,243,932.00"
2020,101,Transportation Fund,,"18,627,845.00"
2020,107,Sheriff Fund,,"5,375,591.00"
2020,111,Tourist Development Fund,,"60,559,812.00"
2020,112,Solid Waste Fund,,"10,005,111.00"
2020,300,Capital Projects Fund,,"17,445,251.00"
2020,103,Building Fund,,"4,667,595.00"
2020,105,Mosquito Control Fund,,"438,057.00"
2020,109,E911 Fund,,"85,843.00"
2020,110,Housing & Urban Development Fund,,"148,245.00"
2020,113,Preservation Fund,,"3,748,079.00"
2020,114,Recreation Plat Fee Fund,,"864,621.00"
2020,115,Sidewalk Fund,,"289,394.00"
2021,001,General Fund,FB-UNASSIGNED,"35,427,507.00"
2021,101,Transportation Fund,FB-RESTRICTED,"25,169,123.00"
2021,107,Sheriff Fund,FB-RESTRICTED,"6,617,517.00"
2021,111,Tourist Development Fund,FB-ASSIGNED,"84,963,196.00"
2021,112,Solid Waste Fund,FB-ASSIGNED,"18,857,416.00"
2021,300,Capital Projects Fund,FB-ASSIGNED,"22,549,319.00"
2021,103,Building Fund,FB-COMMITTED,"7,807,083.00"
2021,105,Mosquito Control Fund,FB-RESTRICTED,"464,751.00"
2021,109,E911 Fund,FB-ASSIGNED,"302,662.00"
