Dept_Name,Position_ID*,Position_Name,Hourly_Base_Wage,Standard_Hours_per_Year,Allocation,Fund,Commissioner_Vehicle_Allowance,Health_Plan,Coverage,Pension_Plan,Risk_Code,Weekend_Pay
10116020,1,Sewer Technician,$25.33,2080,100.00%,101,$0,FB1,EE,7220,9402,$0
00119000,2,Environmental Planner,$42.73,2080,100.00%,001,$0,FB3,FAM,7205,8810,$0
11141010,,Beach Maintenance Specialist,$20.96,2080,100.00%,111,$0,FB1,EE,7210,9015,$500
11141010,3,Beach Maintenance Specialist,$20.96,2080,100.00%,111,$0,FB2,EE,7210,9015,$500
10528000,4,Mosquito Control Technician I,$18.26,2080,100.00%,105,$0,FB3,EE,7225,9402,$250
00109000,5,Probation Officer,$22.13,2080,100.00%,001,$0,FB3,EE,7210,7720,$0
11141010,6,Beach Maintenance Technician,$20.47,2080,100.00%,111,$0,FB2,EE,7210,9015,$500
00104000,7,Senior Planner,$42.07,2080,100.00%,001,$0,FB2,EE,7210,8810,$0
11242000,8,Solid Waste General Equipment Operator,$20.41,2080,100.00%,112,$0,FB2,EE,7210,6217,$250
11141010,,Landscape Maintenance Coordinator,$29.36,2080,100.00%,111,$0,FB2,EE,7225,9102,$500
11141010,,Electrician Helper,$22.13,2080,100.00%,111,$0,FB1,EE,7225,5190,$500
11141010,,Beach Maintenance Specialist Crew Leader,$21.00,2080,100.00%,111,$0,FB1,EE,7225,9015,$500
11141010,,Beach Maintenance Specialist Crew Leader,$21.00,2080,100.00%,111,$0,FB1,EE,7225,9015,$500
11141010,9,Beach Maintenance Specialist,$17.62,2080,100.00%,111,$0,FB2,EE,7210,9015,$500
11141010,,Beach Maintenance Specialist,$17.62,2080,100.00%,111,$0,FB1,EE,7210,9015,$500
11141010,,Beach Maintenance Specialist,$17.62,2080,100.00%,111,$0,FB1,EE,7210,9015,$500
11141010,,Beach Maintenance Specialist,$17.62,2080,100.00%,111,$0,FB1,EE,7210,9015,$500
11141010,10,Beach Maintenance Specialist,$17.62,2080,100.00%,111,$0,FB1,EE,7210,9015,$500
11141030,11,Visitor Information Specialist,$17.34,2080,100.00%,111,$0,FB3,EE,7225,8810,"$1,000"
00104000,12,Planning Technician,$31.30,2080,100.00%,001,$0,FB3,FAM,7245,8810,$0
10528000,13,Lead Mosquito Control Technician,$21.12,2080,100.00%,105,$0,FB2,EE,7225,9402,$250
00108000,14,Library Clerk,$16.55,1040,100.00%,001,$0,,,0,8810,$250
11141010,15,Beach Maintenance Technician,$24.35,2080,100.00%,111,$0,FB1,EE,7225,9015,$500
11141010,,Beach Maintenance Technician,$24.35,2080,100.00%,111,$0,FB1,EE,7225,9015,$500
00108000,16,Library Clerk,$17.09,1040,100.00%,001,$0,,,0,8810,$250
00108000,17,Library Youth Services Clerk,$16.80,1040,100.00%,001,$0,,,0,8810,$250
00108000,18,Library Clerk,$16.55,1040,100.00%,001,$0,,,0,8810,$250
00108000,19,Library Clerk,$16.55,1040,100.00%,001,$0,,,0,8810,$250
00108000,20,Library Clerk,$16.55,1040,100.00%,001,$0,,,0,8810,$250
11141010,21,Beach Maintenance Specialist,$18.24,2080,100.00%,111,$0,FB1,EE,7225,8810,$500
11141010,22,Beach Maintenance Specialist,$18.24,2080,100.00%,111,$0,FB1,EE,7225,8810,$500
11141010,23,Beach Maintenance Specialist,$18.24,2080,100.00%,111,$0,FB1,EE,7225,8810,$500
11141010,24,Beach Maintenance Specialist,$18.24,2080,100.00%,111,$0,FB1,EE,7225,8810,$500
11242000,25,Recycling Technician,$22.72,2080,100.00%,112,$0,,,7210,6217,$250
11242000,26,Solid Waste Heavy Equipment Operator,$22.51,2080,100.00%,112,$0,FB1,EE,7225,6217,$250
11141010,27,Beach Maintenance Specialist,$17.62,2080,100.00%,111,$0,,,7210,8810,$500
11242000,28,Director of Environmental Services,$56.34,2080,100.00%,112,$0,FB1,EE,7220,8810,$0
00104000,29,Current Planning Manager,$47.25,2080,100.00%,001,$0,FB1,EE,7225,8810,$0
00111001,30,Emergency Management Specialist,$21.50,1040,100.00%,001,$0,,,7225,8810,$0
00114000,31,Soil Conservation Technician,$17.95,2080,100.00%,001,$0,FB1,EE,7225,9410,$0
11141030,32,Visitor Information Specialist,$20.00,2080,100.00%,111,$0,FB1,EE,7225,8810,"$1,000"
00101040,33,Administrative Assistant II,$22.48,2080,50.00%,001,$0,FB1,EE,7210,8810,$0
00101040,34,Administrative Assistant II,$22.48,2080,50.00%,001,$0,FB1,EE,7210,8810,$0
11141000,35,Executive Director,$75.00,2080,100.00%,111,$0,FB1,EE,7210,8810,$0
00104000,36,Environmental/Floodplain Specialist,$43.26,2080,100.00%,001,$0,FB1,EE,7210,8810,$0
00102000,37,Director of Governmental Coordination,$41.52,2080,100.00%,001,$0,FB2,EE,7210,8810,$0
00102000,38,Technology & Media Manager,$39.57,2080,100.00%,001,$0,FB2,EE,7210,8810,$0
00102000,39,Director of Administrative Services,$65.09,2080,100.00%,001,$0,FB2,FAM,7210,8810,$0
00102000,40,County Administrator,$102.98,2080,100.00%,001,$0,FB2,EE,7235,8810,$0
00102000,41,Executive Aide To The County Administrator,$35.65,2080,100.00%,001,$0,FB2,FAM,7210,8810,$0
00102000,42,Administration Receptionist,$20.05,2080,100.00%,001,$0,FB5,FAM,7225,8810,$0
00102000,43,Technology Support Specialist,$27.62,2080,100.00%,001,$0,FB2,FAM,7225,8810,$0
00102000,44,Multimedia Support Specialist,$27.14,2080,100.00%,001,$0,FB2,FAM,7210,8810,$0
00102000,45,Administrative Specialist - Contracts,$26.70,2080,100.00%,001,$0,FB2,FAM,7210,8810,$0
00102000,46,Public Information Officer,$39.75,2080,100.00%,001,$0,FB3,EE,7225,8810,$0
00102000,47,Deputy County Administrator,$67.31,2080,100.00%,001,$0,FB3,EE,7210,8810,$0
00102000,48,Systems Administrator,$38.03,2080,100.00%,001,$0,FB1,EE,7210,8810,$0
00102000,49,Assistant County Administrator,$65.63,2080,100.00%,001,$0,FB1,EE,7235,8810,$0
