Dept_Code,Dept_Name,Note,Project_Name,Revenue_Code,Revenue_Name,Revenue_Type,FY2027_Proposed,Fund_code
103322,Building Department,,,322000,Building Permits,Permits Fees and Special Assessments,0.00,103
103329,Building Department,,,329006,Contractor Registration,Permits Fees and Special Assessments,0.00,103
103341,Building Department,,,341302,Copies and Public Records Request,Charges for Services,0.00,103
103361,Building Department,,,361100,Interest,Miscellaneous Revenue,0.00,103
001311,Interfund Group Transfer Out,"Property taxes levied on real and tangible personal property based on assessed taxable value. Ad valorem taxes are the County’s largest revenue source and provide funding for general government operations, public safety, constitutional officers, and other County services.",,311000,Ad Valorem Taxes,General Government Taxes,"25,035,734.00",001
103364,Building Department,,,364001,Surplus Equipment Sales,Miscellaneous Revenue,0.00,103
103369,Building Department,,,369900,Miscellaneous Revenue,Miscellaneous Revenue,0.00,103
103389,Building Department,,,389000,Nonoperating Balance Brought Forward,Other Sources,"4,000,000.00",103
300381,Capital Projects,Property Tax,,381000,Interfund Group Transfer In,Other Sources,"25,035,734.00",300
300361,Capital Projects,,,361100,Interest,Miscellaneous Revenue,0.00,300
300389,Capital Projects,,,389000,Nonoperating Balance Brought Forward,Other Sources,0.00,300
001348,Circuit Court,,,348144,Court Facilities Trust Fund Fee,Charges for Services,"150,000.00",001
107342,Walton County Sheriff's Office,EMS Collections,,342600,Ambulance Fees,Charges for Services,"3,000,000.00",107
001329,Code Compliance,,,329002,Beach Vehicle Permits,Permits Fees and Special Assessments,"120,000.00",001
001329,Code Compliance,,,329003,Special Events Permits,Permits Fees and Special Assessments,"350,000.00",001
001329,Code Compliance,,,329004,Beach Vending Permits,Permits Fees and Special Assessments,"350,000.00",001
001329,Code Compliance,,,329005,Beach Dog Permits,Permits Fees and Special Assessments,"190,000.00",001
001329,Code Compliance,,,329009,Beach Bonfire Permits,Permits Fees and Special Assessments,"750,000.00",001
001341,Code Compliance,,,341203,Lien Searches,Charges for Services,"250,000.00",001
001342,Code Compliance,,,342900,Code Enforcement Fees,Charges for Services,"150,000.00",001
001354,Code Compliance,,,354002,Ordinance Fine (Handicap Parking),"Judgments, Fines and Forfeits","10,000.00",001
001354,Code Compliance,,,354003,Ordinance Fine (Parking),"Judgments, Fines and Forfeits","190,000.00",001
001369,Code Compliance,"Under Florida Statutes §125.0104(5)(c), eligible counties may allocate up to 10% of Tourist Development Tax revenues to reimburse public safety expenses necessitated by increased tourism and visitor impacts.",,369903,TDC Public Safety Reimbursements,Miscellaneous Revenue,"2,244,645.00",001
001348,Court Innovations,,,348140,Additional Court Cost (Law Library),Charges for Services,"20,000.00",001
001348,Court Innovations,,,348141,Additional Court Cost (Juvenile Justice),Charges for Services,"20,000.00",001
001348,Court Innovations,,,348142,Additional Court Cost (Legal Aid),Charges for Services,"20,000.00",001
001348,Court Innovations,,,348143,Additional Court Cost (Innovative Programs),Charges for Services,"20,000.00",001
001341,Court Technology - Court Administration,"Florida Statute § 25.24(12)(e)(1) authorizes a $2.00 fee for court-related technology, which is distributed to the county to fund technology needs for the trial courts, state attorney, public defender, and related offices.",,341160,$2 Recording Fee,Charges for Services,"185,436.00",001
109335,E911 Fund,"State-distributed E911 surcharge revenues dedicated to supporting the County’s emergency telephone system, including equipment, technology, and eligible operational costs.",,335221,E911 Communications/Non-Wireless,Intergovernmental Revenues,"80,000.00",109
109335,E911 Fund,"State-distributed E911 surcharge revenues dedicated to supporting the County’s emergency telephone system, including equipment, technology, and eligible operational costs.",,335222,E911 Communications/Wireless,Intergovernmental Revenues,"380,000.00",109
001347,Eagle Springs Golf and Recreation Center,,,347201,Membership Fees,Charges for Services,"550,000.00",001
001347,Eagle Springs Golf and Recreation Center,,,347202,Green Fees,Charges for Services,"430,000.00",001
