Dept_Code,Dept_Name,Position_Name,2024,2025,2026,2027
00108000,County Libraries,Library Administrative Specialist,1,1,1,1
00112010,Eagle Springs Golf and Recreation Center,Golf Course Spray Technician,1,1,1,1
00112010,Eagle Springs Golf and Recreation Center,Golf Course Grounds Crew,5,4.5,5.5,5.5
00112010,Eagle Springs Golf and Recreation Center,Golf Course & Sports Park Superintendent,1,1,1,1
00112010,Eagle Springs Golf and Recreation Center,Golf Course Attendant,3,3,3.5,3.5
00117000,Building Construction and Maintenance,Director of Building Construction & Maintenance,1,1,1,1
00117000,Building Construction and Maintenance,Parks & Recreation Foreman,2,2,2,2
00117000,Building Construction and Maintenance,Parks Maintenance Worker,15,14.5,19,19
00117000,Building Construction and Maintenance,Executive Assistant,1,1,1,1
00117000,Building Construction and Maintenance,Projects Manager,0,1,0,0
00117000,Building Construction and Maintenance,Work Order Supervisor,1,1,1,1
00117000,Building Construction and Maintenance,Administrative Assistant,1,1,1,1
00117000,Building Construction and Maintenance,Custodian,9,9,11,11
00117000,Building Construction and Maintenance,Custodian - Building,0,0,1,1
00117000,Building Construction and Maintenance,Construction Foreman,1,1,1,1
00117000,Building Construction and Maintenance,Facilities Maintenance Technician II,7,7,7,7
00117000,Building Construction and Maintenance,Equipment Operator,1,1,1,1
00117000,Building Construction and Maintenance,Fixed Asset & ADA Coordinator,1,1,0,0
00117000,Building Construction and Maintenance,Facilities Maintenance Technician III,6,6,6,6
00117000,Building Construction and Maintenance,Facilities Maintenance Technician I,8,8,12,12
00117000,Building Construction and Maintenance,Custodian Supervisor,1,1,1,1
00117000,Building Construction and Maintenance,Deputy Director of Building Construction & Facilities Maintenance,1,1,1,1
00117000,Building Construction and Maintenance,Assistant Foreman,2,2,2,2
10326000,Building Department,Office Manager,1,1,1,1
10326000,Building Department,Building Clerk,1,1,1,1
10326000,Building Department,Building Technician,12,12,9,9
10326000,Building Department,Building Coordinator,2,2,2,2
10326000,Building Department,Building Inspector I,3,3,3,3
10326000,Building Department,Building Inspector III,2,2,2,2
10326000,Building Department,Building Official,1,1,1,1
10326000,Building Department,Plans Reviewer,1,1,1,1
10326000,Building Department,Building Inspector/Plans Reviewer,1,1,1,1
00102030,Code Compliance Street,Deputy Director of Code Compliance,0.5,0.5,0.5,0.5
00102030,Code Compliance Beach,Deputy Director of Code Compliance,0.5,0.5,0.5,0.5
00102030,Code Compliance Street,Code Compliance Officer Street,6,6,6,6
00102030,Code Compliance Street,Code Compliance Officer Parking,4,4,4,4
00102030,Code Compliance Street,Office Manager,0.5,0.5,0.5,0.5
00102030,Code Compliance Beach,Code Compliance Technician,3,3,3,3
00102030,Code Compliance Street,Code Compliance Technician,1,1,1,1
00102030,Code Compliance Street,Operations Support Specialist,0.5,0.5,0.5,0.5
00102030,Code Compliance Street,Code Compliance Shift Supervisor,2,2,2,2
00102030,Code Compliance Street,Director of Code Compliance,0.5,0.5,0.5,0.5
00102030,Code Compliance Beach,Code Compliance Manager,1,1,1,1
00102030,Code Compliance Beach,Code Compliance Officer Beach,14,14,14,14
00102030,Code Compliance Beach,Code Compliance Shift Supervisor,4,4,4,4
00102030,Code Compliance Beach,Lead Beach Steward,1,2,2,2
00102030,Code Compliance Street,Code Compliance Manager,1,1,1,1
00102030,Code Compliance Street,Code Compliance Officer STR,0,0,1,1
00102000,County Administration,Technology & Media Manager,1,1,1,1
00102000,County Administration,Executive Assistant,1,1,1,1
00102000,County Administration,Director of Governmental Coordination,1,1,1,1
00102000,County Administration,Deputy County Administrator,1,1,1,1
00102000,County Administration,Executive Aide To The County Administrator,1,1,1,1
00102000,County Administration,Program Development & Outreach Coordinator,1,1,1,1
00102000,County Administration,Administrative Specialist - Contracts,1,1,1,1
00102000,County Administration,Systems Administrator,0,0,1,1
00102000,County Administration,Technology Support Specialist,0,1,1,1
00102000,County Administration,Multimedia Support Specialist,1,1,1,1
00102000,County Administration,County Administrator,1,1,1,1
00102000,County Administration,Assistant County Administrator,1,1,1,1
00102000,County Administration,Director of Administrative Services,1,1,1,1
00102030,Code Compliance Beach,Office Manager,0.5,0.5,0.5,0.5
00102000,County Administration,Administrative Assistant,1,1,1,0
00102000,County Administration,Tri-County Attendent,1,1,1,1
00112010,Eagle Springs Golf and Recreation Center,Assistant Golf Course Superintendent,1,1,1,1
00102030,Code Compliance Beach,Director of Code Compliance,0.5,0.5,0.5,0.5
00112040,Eagle Springs Grill,Golf Course Cook,4,4,2.5,2
00112040,Eagle Springs Grill,Food & Beverage Manager,1,1,1,1
00112040,Eagle Springs Grill,Lead Golf Course Server,1,1,1,1
00102000,County Administration,Administration Receptionist,1,1,1,1
00112040,Eagle Springs Grill,Golf Course Server,6,3,2,2
00111001,Emergency Management,Emergency Management Coordinator,1,1,1,1
00111001,Emergency Management,Director of Emergency Management,1,1,1,1
00111001,Emergency Management,Recovery & Mitigation Coordinator,0,0,1,1
00111001,Emergency Management,Emergency Management Logistics Coordinator,1,1,1,1
00111001,Emergency Management,Technology Coordinator,0,0,0,0.5
00111001,Emergency Management,Deputy Director of Emergency Management,1,1,1,1
00111001,Emergency Management,Emergency Management Specialist,0.5,0.5,0.5,0.5
00120000,Engineering Department,Long Range Infrastructure Program Engineer,1,1,1,1
00120000,Engineering Department,County Engineer,1,1,1,1
00120000,Engineering Department,Projects Manager,1,1,1,1
00120000,Engineering Department,Administrative Assistant,1,1,1,0
00120000,Engineering Department,Capital Improvements Work Program Engineer,1,1,1,1
00120000,Engineering Department,Deputy County Engineer,1,1,0,0
00120000,Engineering Department,CEI Project Coordinator,2,2,1,1
00120000,Engineering Department,Staff Engineer II,1,1,1,1
00120000,Engineering Department,County Surveyor,1,1,1,1
00120000,Engineering Department,Senior Survey Party Chief,1,1,1,1
00120000,Engineering Department,Senior Right of Way Specialist,1,1,1,1
00120000,Engineering Department,Administrative Project Coordinator,1,1,2,1
00120000,Engineering Department,Staff Engineer I,2,2,2,2
00120000,Engineering Department,Engineering Technician I,1,1,1,1
00120000,Engineering Department,Junior Survey Party Chief,1,1,1,1
00119000,Environmental Resources,Environmental Manager,1,1,1,1
00119000,Environmental Resources,Environmental Technician,1,1,1,1
00119000,Environmental Resources,Environmental Planner,1,1,1,1
00119000,Environmental Resources,Environmental Scientist,1,1,1,1
00113000,Extension Office,Office Manager,1,1,1,1
00113000,Extension Office,Extension Agent III,2,2,2,2
00113000,Extension Office,4-H Program Assistant,1,1,1,1
00113000,Extension Office,Extension Clerk,1,1,1,1
00113000,Extension Office,FCS Extension Agent,0.5,0.5,0.5,0.5
00113000,Extension Office,Extension Agent II,2,2,2,2
00113000,Extension Office,Director of County Extension,1,1,1,1
00105000,Geographic Info Systems,GIS Specialist,1,1,1,1
00105000,Geographic Info Systems,Gis Data Coordinator,1,1,1,1
00105000,Geographic Info Systems,GIS Analyst II,1,1,1,1
00105000,Geographic Info Systems,GIS Technician II,1,1,1,1
00105000,Geographic Info Systems,GIS Technician I,1,1,1,1
00105000,Geographic Info Systems,Director of GIS,1,1,1,1
11040000,Housing & Urban Development,Director of Housing,1,1,1,1
11040000,Housing & Urban Development,Administrative Assistant/Hud,1,1,0,0
11040000,Housing & Urban Development,Assistant Hud Director,1,1,1,1
11040000,Housing & Urban Development,FSS Program Coordinator,1,1,1,1
00106000,Human Resources,HRIS Coordinator,0,1,1,1
00106000,Human Resources,Human Resources Generalist - Tourism,1,1,1,1
00106000,Human Resources,Risk & Safety Manager,1,1,1,1
00106000,Human Resources,Administrative Assistant,1,1,1,1
00106000,Human Resources,Benefits Coordinator,1,1,1,1
00106000,Human Resources,Human Resources Generalist,1,1,2,2
00106000,Human Resources,Employee Relations Manager,1,1,1,1
00106000,Human Resources,Human Resources Technician,1,1,1,1
00106000,Human Resources,Administrative Support Specialist,1,1,1,1
00106000,Human Resources,Human Resources Supervisor,1,1,1,1
00106000,Human Resources,Fixed Asset & ADA Coordinator,0,0,1,1
00102000,County Administration,Public Information Officer,1,1,1,1
00108000,County Libraries,Library Technology Specialist,1,1,1,1
00108000,County Libraries,Interlibrary Loan Coordinator,1,1,1,1
00108000,County Libraries,Director of Libraries,1,1,1,1
00108000,County Libraries,Library Youth Services Clerk,2.5,2.5,5.5,5.5
00108000,County Libraries,Library Clerk,8,8,8,8
00108000,County Libraries,Library Branch Manager,3,3,3,3
00108000,County Libraries,Library Technical Services Coordinator,1,1,1,1
00108000,County Libraries,Outreach Librarian,1,1,1,1
00106000,Human Resources,Director of Human Resources,1,1,1,1
10528000,Mosquito Control,Mosquito Control Technician I,3,3,3,3
10528000,Mosquito Control,Mosquito Control Technician II,3,3,3,3
10528000,Mosquito Control,Mosquito Control Coordinator,1,1,1,1
10528000,Mosquito Control,Mosquito Control Manager,1,1,1,1
10528000,Mosquito Control,Lead Mosquito Control Technician,1,1,1,0
10116020,Mossy Head Wastewater Treatment Facility,Sewer Technician,1,1,1,1
00107000,Office of Management and Budget,Budget Analyst,2,2,3,3
00107000,Office of Management and Budget,Grants Coordinator,2,2,3,3
00107000,Office of Management and Budget,Chief Financial Officer,1,1,1,1
00107000,Office of Management and Budget,Budget Director,1,1,1,1
00107000,Office of Management and Budget,Grants Manager,1,1,1,1
00103000,Office of the County Attorney,Public Records Technician I,2,2,2,2
00103000,Office of the County Attorney,Records Management Liaison Officer,0,1,1,1
00103000,Office of the County Attorney,Contracts Manager,1,1,1,1
00103000,Office of the County Attorney,Contracts Coordinator,1,1,1,1
00103000,Office of the County Attorney,Assistant County Attorney,2,2,2,2
00103000,Office of the County Attorney,County Attorney,1,1,0,0
00103000,Office of the County Attorney,Paralegal,2,2,2,1
00103000,Office of the County Attorney,Public Records Coordinator,1,1,1,1
00104000,Planning,Records Technician,1,1,1,1
00104000,Planning,Senior Planner,6,6,6,6
00102030,Code Compliance Beach,Operations Support Specialist,0.5,0.5,0.5,0.5
00104000,Planning,Financial Planning Coordinator,1,1,1,1
00104000,Planning,Planning Support Specialist,1,1,1,1
00104000,Planning,Executive Assistant,1,1,1,1
00104000,Planning,Building Plans Review Manager,1,1,1,1
00104000,Planning,Planning Technician,5,7,7,7
00104000,Planning,Deputy Director of Planning & Development,1,1,1,1
00104000,Planning,Office Manager,1,1,1,1
00104000,Planning,Code Compliance Officer - STR,0,0,0,1
00104000,Planning,Livability & Tourism Technician I,0,3,3,4
00104000,Planning,Land Use Attorney,1,1,1,1
00104000,Planning,Short Term Rentals Manager,1,1,1,1
00104000,Planning,Planning Coordinator,1,1,1,1
00104000,Planning,Environmental Planner,1,1,1,1
00104000,Planning,Development Order Inspector - Planning,3,3,3,3
00104000,Planning,Current Planning Manager,1,1,1,1
00104000,Planning,Livability & Tourism Coordinator,0,1,1,1
00104000,Planning,Planner,3,3,3,3
00104000,Planning,Director of Planning & Development,1,1,1,1
00104000,Planning,Environmental/Floodplain Specialist,0,0,1,1
00104000,Planning,Geospatial Analysis Planner,1,1,1,1
00104000,Planning,Planning Assistant,4,4,4,4
00104000,Planning,Floodplain Program Manager,1,1,1,1
00104000,Planning,Customer Service Specialist,1,1,1,1
00104000,Planning,Plans Review Coordinator,1,1,1,1
00109000,Probation,Probation Assistant,1,1,1,1
00109000,Probation,Probation Officer,1,1,1,1
00109000,Probation,Probation Manager,1,1,1,1
